NOMBRE;MARCA;MODELO;PRECIO_COSTO;PRECIO_VENTA;EXISTENCIA;PROVEEDOR;CATEGORIA
PLAY STATION 5;;;;;;;IPHONE
IPHONE 13 128 GB;;;1280000;;22;;IPHONE
IPHONE 13 256 GB;;;1350000;;4;;IPHONE
IPHONE 13 PRO 512 GB;;;1900000;;0;;IPHONE
IPHONE 13 PRO MAX 256 GB;;;2100000;;0;;IPHONE
IPHONE 14 128 GB;;;1350000;;0;;IPHONE
IPHONE 14 PRO 256 GB;;;2090000;;1;;IPHONE
IPHONE 14 PRO MAX 128 GB;;;2050000;;1;;IPHONE
IPHONE 14 PRO MAX 256 GB;;;2100000;;0;;IPHONE
IPHONE 15 128 GB;;;1900000;;9;;IPHONE
IPHONE 15 PRO 128 GB;;;2080000;;7;;IPHONE
IPHONE 15 PRO 256 GB;;;2390000;;0;;IPHONE
IPHONE 15 PRO MAX 256 GB;;;2590000;;8;;IPHONE
IPHONE 16 128 GB;;;2380000;;12;;IPHONE
IPHONE 16 PRO 256 GB;;;2960000;;8;;IPHONE
IPHONE 16 PRO 512 GB;;;3250000;;0;;IPHONE
IPHONE 16 PRO MAX 256 GB;;;3360000;;2;;IPHONE
IPHONE 14 128 GB NUEVO;;;1850000;;9;;IPHONE
APPLE WHATCH ULTRA 3;;;2990000;;0;;IPHONE
APPLE WHATCH ULTRA 2;;;1800000;;1;;IPHONE
APPLE WHATCH SERIE 11;;;1650000;;0;;IPHONE
IPHONE 17 PRO MAX 256 GB NUEVO;;;5300000;;13;;IPHONE
IPAD A16 128GB;;;1550000;;0;;IPHONE
CAMARA INSTA360 X4;;;1580000;;0;;IPHONE
PLAY PS5;;;2200000;;0;;IPHONE
PLAY PS5 DISCO;;;2375000;;0;;IPHONE
AIRPODS PRO 3;;;1080000;;2;;IPHONE
MACBOOK AIR M4 256 GB;;;3000000;;0;;IPHONE
IPHONE 17 AIR 256 GB NUEVO;;;3600000;;0;;IPHONE
BOSSE S1 PRO +;;;2950000;;0;;IPHONE
IPHONE 13 PRO 128GB;;;1650000;;10;;IPHONE
IPHONE 11 128GB;;;400000;;0;;IPHONE
IPHONE 13 128GB R;;;850000;;0;;IPHONE
IPHONE 13 128GB NUEVO;;;1780000;;3;;IPHONE
IPHONE 16 128 NUEVO;;;2720000;;0;;IPHONE
IPHONE 15 PRO 128GB R;;;2000000;;1;;IPHONE
IPHONE 16 PRO MAX 256GB R;;;3200000;;2;;IPHONE
IPHONE 11 PRO MAX 256GB R;;;400000;;0;;IPHONE
IPHONE XS MAX 64GB;;;270000;;0;;IPHONE
IPHONE 12 PRO MAX 128GB;;;1340000;;7;;IPHONE
PLAY 4;;;400000;;0;;IPHONE
17 PRO 256GB;;;4600000;;0;;IPHONE
IPHONE 14 PRO 512GB;;;2200000;;0;;IPHONE
IPHONE 12 64GB R;;;450000;;0;;IPHONE
IPHONE 16 PRO MAX 1TB;;;3500000;;0;;IPHONE
PARLANTE JBL BOMBOX 4;;;1673840;;0;;IPHONE
IPHONE 14 PRO MAX 256GB R;;;1800000;;0;;IPHONE
IPHONE 17 PRO MAX 512GB;;;6500000;;0;;IPHONE
IPHONE 16 128GB R;;;2000000;;0;;IPHONE
IPHONE 13 PRO MAX 256GB R;;;1520000;;0;;IPHONE
IPHONE 15 PRO 256GB R;;;2100000;;0;;IPHONE
IPHONE 13 PRO MAX 1TB R;;;2000000;;0;;IPHONE
IPHONE 14 PRO MAX 128GB R;;;1400000;;0;;IPHONE
IPHONE 12 128GB;;;1000000;;1;;IPHONE
IPHONE 17 256GB NUEVO;;;3550000;;9;;IPHONE
IPAD PRO 11;;;3500000;;0;;IPHONE
AIRPODS 4 GEN;;;670000;;0;;IPHONE
EARPODS PRO;;;770000;;0;;IPHONE
IPHONE 14 PLUS 128GB;;;1370000;;1;;IPHONE
IPHONE 14 PRO MAX 512GB;;;2290000;;0;;IPHONE
IPHONE 15 256GB;;;2200000;;0;;IPHONE
IPHONE 13 PRO MAX 1TB;;;2300000;;0;;IPHONE
IPHONE 13 PRO 128GB R;;;1450000;;1;;IPHONE
IPHONE 13 PRO MAX 128GB R;;;1200000;;0;;IPHONE
IPHONE 17 AIR 512GB;;;4700000;;0;;IPHONE
IPHONE 14 PRO 128GB R;;;1400000;;0;;IPHONE
IPHONE 15 PRO MAX 256GB R;;;1000000;;0;;IPHONE
SAMSUNG S25 ULTRA 256GB R;;;2000000;;0;;IPHONE
IPHONE 16 PRO 128GB R;;;2600000;;0;;IPHONE
IPHONE 11 256GB R;;;450000;;0;;IPHONE
IPHONE 14 PRO 128GB;;;1850000;;0;;IPHONE
IPHONE 12 PRO 128GB R;;;1000000;;0;;IPHONE
IPHONE 15 128GB R;;;1600000;;1;;IPHONE
IPHONE 13 256GB R;;;750000;;1;;IPHONE
IPAD 11 PRO 256 GB R;;;1800000;;0;;IPHONE
IPHONE 15 128GB NUEVO;;;2350000;;3;;IPHONE
IPHONE 13 PRO MAX 512GB;;;1600000;;1;;IPHONE
IPHONE 13 PRO MAX 128GB;;;1800000;;8;;IPHONE
IPHONE 16 PRO 128GB;;;2760000;;3;;IPHONE
IPHONE 15 512GB NUEVO;;;2750000;;4;;IPHONE
IPHONE 16 PRO MAX 512GB;;;3600000;;6;;IPHONE
IPHONE 17 256GB;;;3150000;;4;;IPHONE
IPHONE 11 64GB R;;;620000;;0;;IPHONE
MACBOOK PRO 512GB;;;9200000;;1;;IPHONE
PARLANTE JBL G04;;;155000;;0;;IPHONE
PARLANTE JBL CLIP 5;;;160000;;2;;IPHONE
PARLANTE JBL GRIP;;;260000;;2;;IPHONE
PARLANTE JBL FLIP 7;;;410000;;1;;IPHONE
PARLANTE JBL CHRAGE 6;;;560000;;0;;IPHONE
PARLANTE JBL PARTY ON THE GO;;;940000;;1;;IPHONE
PARLANTE JBL PARTY CLUB 120;;;1250000;;1;;IPHONE
PARLANTE JBL PARTY BOX 320;;;1860000;;1;;IPHONE
IPHONE 14 PRO 256GB R;;;1800000;;0;;IPHONE
CABLE IPHONE C-LIGHTININ;;;45000;;44;;IPHONE
CABLE IPHONE TC-TC;;;49000;;42;;IPHONE
CABEZOTE IPHONE;;;65000;;40;;IPHONE
IPHONE 14 256GB;;;1500000;;7;;IPHONE
IPHONE 11 128GB R;;;450000;;0;;IPHONE
IPHONE 11 PRO MAX 64GB;;;800000;;1;;IPHONE
IPHONE 12 PRO MAX 128GB R;;;700000;;1;;IPHONE
IPHONE 13 PRO 256GB;;;2000000;;1;;IPHONE
IPHONE 15 PRO MAX 512GB;;;2850000;;1;;IPHONE
IPHONE 12 PRO 128GB;;;1280000;;1;;IPHONE
IPHONE 12 64GB;;;900000;;1;;IPHONE
IPHONE 14  128GB R;;;850000;;0;;IPHONE
IPHONE 12 128GB R;;;450000;;0;;IPHONE
IPHONE 15 PLUS 128GB;;;1850000;;1;;IPHONE
IPHONE 17 AIR 256GB;;;2900000;;1;;IPHONE
ABANICO 3 EN 1 ;;120000;103000;;60;;CACHARRO
ADAPTADOR 2 EN 1 SOPORTE 4K;;33000;26400;;6;;CACHARRO
AFEITADORA ULTRA SONIC PRO+;NOBELSOUND;29000;24000;;6;;CACHARRO
AHORCADO;;40000;35500;;6;;CACHARRO
AIR CLIPPER RECARGABLE JJ788;;80000;65000;;1;;CACHARRO
ALGODONERA;;80000;71500;;7;;CACHARRO
ALITAS DE MARIPOSA ;;35000;28000;;1;;CACHARRO
ALMOHADA COOL PILLOW CON GEL ;;45000;40000;;14;;CACHARRO
ALMOHADA COOL PILLOW OP350;;35000;27500;;1;;CACHARRO
ANTENA DE AIRE WBAP-064HD;;55000;45000;;3;;CACHARRO
ANTENA KDG SR549;;3500;2800;;48;;CACHARRO
ANTENA PARA TV;;6500;2750;;2;;CACHARRO
ANTENA TDT 5M;;10000;8000;;10;;CACHARRO
ANTENA TDT 5M AZUL;;12000;9600;;10;;CACHARRO
ANTENA TDT ALIGO ;;40000;35500;;280;;CACHARRO
ANTENA TDT DIGITAL AF DT98;;17000;13000;;13;;CACHARRO
ANTENA TDT HARVIC TDT-91;HARVIC;40000;36400;;100;;CACHARRO
ANTENA VL-602 5M;;15000;12000;;1;;CACHARRO
ARO DE LUZ LED RL21 ;;200000;183000;;5;;CACHARRO
ARO DE LUZ LJJ-26;NOBELSOUND;20000;15000;;50;;CACHARRO
ARO DE LUZ LJJ33;;37500;28000;;2;;CACHARRO
ARO DE LUZ MJ26;;32000;27000;;21;;CACHARRO
ARO DE LUZ MJ36;;81000;65000;;20;;CACHARRO
ARO DE LUZ MJ45;;115000;98000;;29;;CACHARRO
ARO DE LUZ RGB LED MJ33;;44000;37000;;79;;CACHARRO
ARO DE LUZ ZMX-260;;24000;15000;;3;;CACHARRO
ARO VENTILADOR FS260 ;;35000;28000;;6;;CACHARRO
ASPIRADORA DE CARRO 3 EN 1 AS228;;17000;13300;;2;;CACHARRO
ASPIRADORA MINI YTH2037;;28000;22400;;2;;CACHARRO
ASPIRADORA PORTATIL MDHL MD-16;;43000;34400;;8;;CACHARRO
ASPIRADORA PORTATIL VERDE;;40000;34000;;7;;CACHARRO
AUDÍFONOS PARA SORDO A-0840;;10000;8000;;17;;CACHARRO
BARRA DE SILICONA FACIAL 003;;8000;4900;;26;;CACHARRO
BARRA DE SONIDO D86;;46000;41200;;1;;CACHARRO
BARRA DE SONIDO D87;;60000;53600;;1;;CACHARRO
BARRA DE SONIDO S2025;;63000;50400;;4;;CACHARRO
BARRA DE SONIDO S6;;35000;28000;;5;;CACHARRO
BARRA DE SONIDO VIDVIE ;;120000;95000;;1;;CACHARRO
BASCULA DIGITAL ;NOBELSOUND;20000;17000;;20;;CACHARRO
BÁSCULA DIGITAL GB28 ;;100000;93500;;5;;CACHARRO
BASCULA DIGITAL SK-19020;;82000;70000;;9;;CACHARRO
BASE CON VENTILACIÓN P5 OK 181;;111000;94350;;3;;CACHARRO
BASE DE TV CAJA CAFÉ ;WEIBO;27000;22900;;100;;CACHARRO
BASE DE TV P4;WEIBO;33000;29900;;100;;CACHARRO
BASE DE TV P4-1;WEIBO;30000;26900;;100;;CACHARRO
BASE DE TV X-200;WEIBO;18000;13900;;100;;CACHARRO
BASE DE TV X-400;WEIBO;20000;16000;;130;;CACHARRO
BASE PARA PORTÁTIL 1595;;15000;12000;;5;;CACHARRO
BASE REFRIGERANTE Q-3;;55000;44000;;3;;CACHARRO
BASE REFRIGERANTE S4;;55000;44000;;4;;CACHARRO
BATERÍA AA KINGDEER 27X4;;2000;1300;;27;;CACHARRO
BATERIA DE PISTOLA DE HIDROGEL;;12000;9000;;103;;CACHARRO
BATERÍA XC;;7000;5600;;1;;CACHARRO
BATERIAS MT;;22000;17600;;12;;CACHARRO
BATIDORA MANUAL 3 EN 1 SK02017;;41000;32800;;2;;CACHARRO
BATIDORAS MANUAL SK133;;42000;33600;;4;;CACHARRO
BATIDORAS RAF R96637;;72000;63800;;4;;CACHARRO
BOLSA ACUÁTICA;;1200;1000;;4422;;CACHARRO
BOLSA ESTAMPADO CAPIBARA  A2503-101;;30000;24000;;3;;CACHARRO
BOLSA TERMICA PARA CALOR ;;10000;8800;;8;;CACHARRO
BOLSAS DE CERA DW-201;;6000;4800;;2;;CACHARRO
BOLSO CANDADO;;35000;23000;;2;;CACHARRO
BOLSO NIKE;;70000;42000;;1;;CACHARRO
BOLSO RA-170;;70000;35000;;4;;CACHARRO
BOLSO TÁCTICO;;38000;33000;;6;;CACHARRO
BOMBILLO SOLAR 50W;;17000;14300;;12;;CACHARRO
BOMBILLO SOLAR T01;;10000;8250;;33;;CACHARRO
BRAZALETE JORDAN S1801;;17000;13600;;1;;CACHARRO
BRINCA BRINCA ;;90000;72000;;74;;CACHARRO
C 2.5A TP-5T;;32000;25600;;2;;CACHARRO
"CABINA ACTIVA DOBLE 15"" ELITE J5259";J & R;;1250000;;3;;CACHARRO
CABINA ACTIVA J5267A;J & R;;599000;;2;;CACHARRO
CABINA J&R 5230 ;;1250000;1125000;;1;;CACHARRO
CABINA J&R 5251;;1050000;925000;;1;;CACHARRO
CABINA J&R J5190 ;;1100000;980000;;1;;CACHARRO
CABLE FOR P2;;15000;12000;;1;;CACHARRO
CABLES CARGA Y JUEGA 360 RA-003-2;;12000;9600;;3;;CACHARRO
CAFETERA ELECTRICA ;NOBELSOUND;84000;75000;;2;;CACHARRO
CAJA FUERTE 17E;;77000;67000;;16;;CACHARRO
CAJA FUERTE GRANDE E20;;110000;67000;;1;;CACHARRO
CALCULADORA 12 DÍGITOS KK-837;;7500;6000;;1;;CACHARRO
CALCULADORA CIENTÍFICA CASIO FX-350MS;;55000;48400;;1;;CACHARRO
CALCULADORA GRANDE JS-871;;19000;16500;;6;;CACHARRO
CÁMARA #3;;79000;69300;;1;;CACHARRO
CAMARA 3 ANTENAS  6605;PREMIUM ;40000;32000;;200;;CACHARRO
CÁMARA CON PANEL SOLAR IPC-V380-P6A-6;;175000;140000;;1;;CACHARRO
CÁMARA DEPORTIVA H264;;181000;144800;;1;;CACHARRO
CÁMARA DEPORTIVA H274;;162000;129600;;2;;CACHARRO
CÁMARA GO PRO 4K;;75000;60000;;1;;CACHARRO
CÁMARA GS 2025;;43000;34400;;1;;CACHARRO
CÁMARA INFANTIL 17827-1;;60000;48000;;2;;CACHARRO
CÁMARA SOLAR;;185000;148000;;1;;CACHARRO
CÁMARA SOLAR IPC-V380-P6L;;75000;70000;;1;;CACHARRO
CÁMARA UNA ANTENA IPC-V380;;44000;35200;;2;;CACHARRO
CÁMARA WEB CAM;;50000;40000;;2;;CACHARRO
CÁMARA WIFI IPC-V380;;44000;35200;;71;;CACHARRO
CÁMARA WIFI MINI BODY;;88000;70400;;3;;CACHARRO
CÁMARA WIFI SMART;;93000;82500;;10;;CACHARRO
CÁMARAS #5;;104000;91300;;7;;CACHARRO
CÁMARAS EXF Y108 C2;;63000;56000;;13;;CACHARRO
CÁMARAS Q20 OK-063;;50000;42500;;15;;CACHARRO
CÁMARAS SOLARES;;180000;153000;;5;;CACHARRO
CANDADO CON HUELLA SY11;;37000;29900;;7;;CACHARRO
CANECA DE BASURA CON SENSOR JH58;;95000;76000;;1;;CACHARRO
CANECA DE BASURA CON SENSOR JH68;;75000;60000;;2;;CACHARRO
CARGADOR 6A MAX;;40000;32000;;9;;CACHARRO
CARGADOR INALÁMBRICO CDR-MG-391;;22000;18700;;7;;CACHARRO
CARGADOR INALÁMBRICO CDR-MG-392;;53000;42400;;7;;CACHARRO
CARGADOR JYR MULTIPORT USB;;22000;17600;;1;;CACHARRO
CARGADOR MAGNÉTICO;;9000;7200;;1;;CACHARRO
CARGADOR PARLANTE M128;;38000;30400;;1;;CACHARRO
CARGADOR SOLAR SR-322;;38000;30400;;10;;CACHARRO
